epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16848.4,1.82825,1.88137,1.47762,0.38461,0.35358,0.23102,0.11114,1.94347,2.39639,1.65643,0.00132868,0.00132868,0.00132868
43,17239.4,1.83608,1.8496,1.47566,0.36873,0.36518,0.2262,0.10761,1.91483,2.35046,1.7005,0.00132043,0.00132043,0.00132043
44,17628.9,1.82866,1.85652,1.47809,0.36771,0.35366,0.22314,0.10762,1.93377,2.35547,1.68531,0.00131218,0.00131218,0.00131218
45,18022.5,1.83399,1.85257,1.48401,0.39193,0.36381,0.23427,0.11325,1.92814,2.32076,1.67688,0.00130393,0.00130393,0.00130393
46,18418,1.82923,1.84366,1.48436,0.37483,0.36314,0.23096,0.11281,1.93404,2.29674,1.71992,0.00129568,0.00129568,0.00129568
47,18811,1.82715,1.84474,1.48428,0.38981,0.3519,0.2222,0.10834,1.90706,2.48767,1.67036,0.00128742,0.00128742,0.00128742
48,19210.1,1.81386,1.8156,1.46561,0.39432,0.37976,0.23826,0.11463,1.93293,2.32935,1.70162,0.00127917,0.00127917,0.00127917
49,19605.5,1.8051,1.81812,1.46029,0.37141,0.32669,0.21534,0.10162,1.95749,2.39552,1.70218,0.00127092,0.00127092,0.00127092
50,19994.4,1.81868,1.84356,1.47543,0.37972,0.35043,0.23376,0.11292,1.93472,2.27057,1.63302,0.00126267,0.00126267,0.00126267
51,20393,1.81511,1.79612,1.45519,0.39114,0.35729,0.23471,0.11302,1.94545,2.21683,1.69043,0.00125442,0.00125442,0.00125442
52,20788.3,1.80511,1.80788,1.46255,0.37982,0.34491,0.22463,0.10953,1.90864,2.27512,1.70852,0.00124617,0.00124617,0.00124617
53,21173.2,1.79105,1.75828,1.44438,0.3948,0.36786,0.2382,0.11748,1.92091,2.31417,1.67921,0.00123791,0.00123791,0.00123791
54,21560,1.81203,1.77948,1.46339,0.38821,0.36902,0.23315,0.11313,1.89413,2.24252,1.62257,0.00122966,0.00122966,0.00122966
55,21956.2,1.8013,1.7653,1.45729,0.38398,0.37394,0.23728,0.11425,1.90978,2.34088,1.67685,0.00122141,0.00122141,0.00122141
56,22347.4,1.79386,1.80101,1.4634,0.38482,0.37676,0.23788,0.1161,1.8893,2.33859,1.6651,0.00121316,0.00121316,0.00121316
57,22739.4,1.78837,1.77969,1.45431,0.39996,0.389,0.2467,0.11804,1.931,2.28162,1.66322,0.00120491,0.00120491,0.00120491
58,23133.6,1.79039,1.77375,1.44405,0.37404,0.37706,0.22992,0.1086,1.95277,2.51209,1.76026,0.00119666,0.00119666,0.00119666
59,23521.6,1.80384,1.77855,1.45364,0.39861,0.37462,0.24117,0.11648,1.92056,2.27374,1.65604,0.0011884,0.0011884,0.0011884
60,23913.1,1.80918,1.7752,1.4627,0.38369,0.3606,0.23384,0.11557,1.87916,2.23914,1.67524,0.00118015,0.00118015,0.00118015
61,24306.7,1.78004,1.70806,1.4412,0.39129,0.38069,0.23911,0.11825,1.92316,2.33396,1.7072,0.0011719,0.0011719,0.0011719
62,24701,1.77364,1.73527,1.43597,0.39826,0.3688,0.23732,0.11507,1.93619,2.24081,1.69486,0.00116365,0.00116365,0.00116365
63,25099.4,1.78111,1.75302,1.43561,0.40984,0.3833,0.24626,0.1183,1.91061,2.23307,1.68005,0.0011554,0.0011554,0.0011554
64,25487.1,1.77544,1.72825,1.4342,0.39371,0.38308,0.23934,0.11813,1.90958,2.32047,1.65413,0.00114715,0.00114715,0.00114715
65,25880.5,1.77816,1.72569,1.44098,0.40995,0.39006,0.2531,0.12475,1.9069,2.23662,1.64704,0.00113889,0.00113889,0.00113889
66,26270.4,1.78019,1.71337,1.42916,0.38933,0.37418,0.24316,0.11696,1.91432,2.38987,1.66377,0.00113064,0.00113064,0.00113064
67,26668.8,1.76872,1.68066,1.43459,0.42021,0.37307,0.24794,0.12093,1.90478,2.19112,1.65138,0.00112239,0.00112239,0.00112239
68,27066.2,1.77302,1.70362,1.43401,0.40185,0.37246,0.24016,0.11807,1.88405,2.20691,1.65482,0.00111414,0.00111414,0.00111414
69,27461.4,1.76868,1.7208,1.42961,0.41157,0.3801,0.24585,0.1204,1.89702,2.29801,1.65338,0.00110589,0.00110589,0.00110589
70,27847.1,1.7674,1.66451,1.42464,0.40725,0.38586,0.24951,0.12217,1.9047,2.21361,1.64499,0.00109764,0.00109764,0.00109764
71,28230.1,1.76477,1.70562,1.43007,0.40312,0.38265,0.24579,0.12121,1.87658,2.29581,1.66956,0.00108938,0.00108938,0.00108938
72,28617.1,1.75389,1.70752,1.42967,0.40967,0.37531,0.24454,0.12086,1.86514,2.22257,1.64146,0.00108113,0.00108113,0.00108113
73,28996.7,1.75997,1.69307,1.43358,0.40555,0.38818,0.24891,0.12052,1.94424,2.26045,1.65192,0.00107288,0.00107288,0.00107288
74,29383.2,1.74407,1.66344,1.41618,0.41317,0.3833,0.24679,0.12349,1.88457,2.14371,1.63766,0.00106463,0.00106463,0.00106463
75,29768.2,1.74842,1.65059,1.41897,0.41342,0.3807,0.25016,0.12521,1.88902,2.21344,1.6507,0.00105638,0.00105638,0.00105638
76,30151,1.76114,1.65047,1.42075,0.40252,0.38616,0.24864,0.12314,1.87394,2.26735,1.63836,0.00104813,0.00104813,0.00104813
77,30533.3,1.75078,1.667,1.41942,0.41622,0.40146,0.25578,0.12652,1.87883,2.21306,1.6276,0.00103987,0.00103987,0.00103987
78,30909.8,1.73546,1.66569,1.41869,0.40836,0.38588,0.2472,0.12222,1.875,2.26594,1.67482,0.00103162,0.00103162,0.00103162
79,31290.6,1.75507,1.65635,1.41596,0.41237,0.39146,0.25357,0.12665,1.88116,2.20067,1.65244,0.00102337,0.00102337,0.00102337
80,31660.5,1.7377,1.63951,1.41934,0.4155,0.39726,0.25573,0.12647,1.88216,2.18464,1.68217,0.00101512,0.00101512,0.00101512
81,32034.8,1.74035,1.61834,1.41098,0.40721,0.40218,0.25286,0.12703,1.87821,2.2011,1.65903,0.00100687,0.00100687,0.00100687
82,32412,1.74541,1.64366,1.41637,0.4081,0.40631,0.25773,0.12808,1.89699,2.1868,1.66521,0.000998616,0.000998616,0.000998616
83,32792,1.72818,1.63633,1.40734,0.40469,0.37514,0.24228,0.12116,1.88249,2.23733,1.69511,0.000990365,0.000990365,0.000990365
84,33167.1,1.73093,1.62734,1.41017,0.39933,0.38176,0.246,0.12354,1.85561,2.21031,1.66164,0.000982113,0.000982113,0.000982113
85,33545,1.73138,1.62753,1.39743,0.41243,0.39128,0.24998,0.12554,1.87582,2.21709,1.6871,0.000973861,0.000973861,0.000973861
86,33923.4,1.72049,1.62158,1.39849,0.4233,0.39527,0.25652,0.12689,1.90329,2.14673,1.69382,0.00096561,0.00096561,0.00096561
87,34303.1,1.72804,1.61693,1.41389,0.40656,0.40496,0.25649,0.12688,1.87808,2.16217,1.6613,0.000957358,0.000957358,0.000957358
88,34680.1,1.71819,1.59887,1.40418,0.42371,0.39248,0.25469,0.12767,1.87254,2.18491,1.67512,0.000949106,0.000949106,0.000949106
89,35055.3,1.72437,1.61775,1.40825,0.40498,0.4107,0.2565,0.12708,1.88057,2.23393,1.67924,0.000940855,0.000940855,0.000940855
90,35440.2,1.71484,1.58018,1.40242,0.4063,0.38884,0.25161,0.12507,1.87422,2.2163,1.65489,0.000932603,0.000932603,0.000932603
91,35810.1,1.69604,1.57789,1.37889,0.42149,0.39477,0.25861,0.13052,1.85979,2.11345,1.67122,0.000924352,0.000924352,0.000924352
92,36189.3,1.71727,1.60493,1.41077,0.40243,0.39231,0.24901,0.12215,1.87509,2.19559,1.67676,0.0009161,0.0009161,0.0009161
93,36568.7,1.6999,1.56291,1.38218,0.4224,0.39262,0.25387,0.12581,1.88426,2.19687,1.60927,0.000907848,0.000907848,0.000907848
94,36945.8,1.7042,1.57274,1.39283,0.40661,0.4087,0.25703,0.12718,1.86467,2.2486,1.66931,0.000899597,0.000899597,0.000899597
95,37325,1.69112,1.54491,1.3786,0.41168,0.40992,0.2597,0.13015,1.86465,2.14902,1.66148,0.000891345,0.000891345,0.000891345
96,37697.9,1.71004,1.55885,1.39057,0.42229,0.41086,0.26437,0.12687,1.91764,2.2253,1.64546,0.000883093,0.000883093,0.000883093
97,38078.7,1.70634,1.57441,1.38808,0.41353,0.39707,0.25501,0.12867,1.8523,2.11391,1.6479,0.000874842,0.000874842,0.000874842
